,0
0,6.635724868742075e-06
1,0.00023207776319275034
2,0.0056191395447262385
3,0.5479839780946142
4,6.057206180939601e-06
5,7.996651232832423e-06
6,5.373869014310848e-05
7,0.9824763199906285
8,5.538182575721912e-05
9,0.011754704570997431
10,4.566086117542749e-07
11,0.007261106442247215
12,0.47030445814631516
13,0.5866712280460037
14,3.3873708618036217e-06
15,0.8152129948803181
16,0.9813799380222827
17,0.006827934354374385
18,0.00127961569562594
19,0.0001991111196483978
20,1.2445232941263562e-05
21,0.1005519082911593
22,0.7490604377919405
23,0.7950182017322869
24,0.33152536980709574
25,0.0003152322038222113
26,0.1535697626165028
27,4.8282683221905635e-05
28,0.44566656484808387
29,0.0068554543507777
30,2.1810966860805158e-06
31,0.7706691943562937
32,7.799542485185689e-08
33,4.111248304601978e-07
34,0.0016441626567062799
35,0.43881732064869067
36,5.000729503076559e-06
37,8.140677511522796e-05
38,0.8116935089235803
39,2.6821087666116983e-06
40,1.914534156503697e-05
41,9.466010462594899e-08
42,0.9883600342394274
43,0.011726024639441007
44,8.245685877578374e-07
45,2.8444011410246077e-07
46,0.35883180240189455
47,0.34731870313641566
48,0.8775184601175685
49,0.0009615857155901947
50,5.240019176534036e-07
51,4.599115622088543e-06
52,0.929460570671979
53,1.8116226160357253e-06
54,0.004006197193677395
55,4.39213643071727e-06
56,0.4192581477351328
57,0.14659169669440636
58,0.008954939021398897
59,1.6219207871870147e-05
60,0.09141401914941859
61,0.0027771864770061217
62,0.6956665718436584
63,0.0019323485252211807
64,0.22531969016600228
65,6.245939317917842e-05
66,0.00025065692695886484
67,4.0442325502737565e-07
68,0.050980775980157336
69,0.9950466376560444
70,0.003053912469455941
71,0.0007315967109102488
72,0.9437304239468599
73,5.180035563463241e-07
74,0.904578179289737
75,0.5875736783815153
76,5.347492178890222e-06
77,9.547268023075923e-08
78,0.1349757360199662
79,5.061634858559492e-07
80,0.9826184622887154
81,5.568147639561989e-05
82,0.004534955640264762
83,7.331736544638607e-08
84,0.894370445575512
85,0.0016639775720018143
86,0.0001490670540944077
87,0.1077930071662357
88,0.7055882653025778
89,0.608578149549229
90,9.663249457766724e-07
91,4.079390183227562e-06
92,3.497189758867053e-05
93,0.002614079922348066
94,0.005223808551055119
95,0.0035895018023494618
96,0.00032430077530356746
97,2.1058136796160708e-07
98,2.8133749875756714e-07
99,8.569948411287002e-06
100,3.766162400494492e-05
101,3.987567303996863e-05
102,2.072925584292253e-06
103,0.43742983154916204
104,0.0045919093984156814
105,0.734392168896808
106,0.0005602781448150793
107,0.02827456158568322
108,0.003858937575815784
109,0.049514587123286935
110,0.001811007267938182
111,0.6219716279866729
112,0.2977037358098983
113,1.4782842906471663e-05
114,0.8143064334723762
115,0.008903105829300758
116,1.3487500412772824e-05
117,0.6796159593804963
118,0.7588361144398373
119,1.8952844514503641e-06
120,9.987150008866068e-07
121,1.0979793668180677e-05
122,0.9045827570573344
123,0.9063040778445957
124,0.07153596325506542
125,0.035575526842577795
126,1.8150083838829808e-06
127,2.5454720397279777e-05
128,1.4722037979315643e-05
129,0.0002483300078840708
130,5.4285130739617835e-05
131,0.0813361853710254
132,0.00040038269064333556
133,0.14727429169972234
134,0.5658741632362084
135,0.3273383115943936
136,0.4622015820803485
137,0.7691600744978605
138,0.6015816154415307
139,0.04499992766969402
140,0.008495731855484471
141,0.00019889005553545619
142,8.029629906344186e-06
143,2.0605167835636045e-05
144,0.00027411526959991635
145,0.013006527850626207
146,0.03529295626209984
147,1.998366200603612e-06
148,0.0003962739502573204
149,0.16361912590734834
